,Link,Posisi,Perusahaan,Kota,Gaji,Tanggal
274,https://www.jobstreet.co.id//id/job/sales-engineer-semarang-4078939?jobId=jobstreet-id-job-4078939&sectionRank=275&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Sales Engineer Semarang,Perusahaan Dirahasiakan,Semarang,N/A,Perusahaan Dirahasiakan
275,https://www.jobstreet.co.id//id/job/staff-accounting-tax-and-finance-4102334?jobId=jobstreet-id-job-4102334&sectionRank=276&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,"Staff Accounting,Tax and Finance",PT. DCID Jaya Makmur,Semarang,"IDR 3 jt - 4,2 jt  per bulan ",5 hari yang lalu
276,https://www.jobstreet.co.id//id/job/aesthetic-doctor-dokter-estetika-jakarta-semarang-lombok-4090147?jobId=jobstreet-id-job-4090147&sectionRank=277&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,"Aesthetic Doctor Dokter Estetika (Jakarta, Semarang, Lombok)",PT.Samudra Estetika perkasa,"Lombok, Jakarta Raya, Semarang",IDR 15 jt - 30 jt  per bulan ,4 hari yang lalu
277,https://www.jobstreet.co.id//id/job/sales-aquaponik-4084798?jobId=jobstreet-id-job-4084798&sectionRank=278&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,SALES AQUAPONIK,PT Fauzi Panca Manunggal,Semarang,N/A,9 hari yang lalu
278,https://www.jobstreet.co.id//id/job/staff-operasional-all-area-4094607?jobId=jobstreet-id-job-4094607&sectionRank=279&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Staff Operasional (All Area),PT Hiba Utama,"Semarang, Padang, Pontianak",N/A,11 hari yang lalu
279,https://www.jobstreet.co.id//id/job/desain-grafis-4084577?jobId=jobstreet-id-job-4084577&sectionRank=280&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Desain Grafis,TITAN MATRAS,Semarang,"IDR 2 jt - 2,8 jt  per bulan ",9 hari yang lalu
280,https://www.jobstreet.co.id//id/job/internal-performance-test-4083797?jobId=jobstreet-id-job-4083797&sectionRank=281&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Internal Performance Test,PT Euro-Design,Semarang,N/A,10 hari yang lalu
281,https://www.jobstreet.co.id//id/job/finance-accounting-tax-supervisor-4092975?jobId=jobstreet-id-job-4092975&sectionRank=282&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Finance Accounting Tax Supervisor,PT Dafam,Semarang,"IDR 3 jt - 4,5 jt  per bulan ",12 hari yang lalu
282,https://www.jobstreet.co.id//id/job/customer-care-melayu-agent-4093895?jobId=jobstreet-id-job-4093895&sectionRank=283&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Customer Care - Melayu Agent,(PT Mitracomm Ekasarana),Semarang,IDR 5 jt - 6 jt  per bulan ,11 hari yang lalu
283,https://www.jobstreet.co.id//id/job/apoteker-4105631?jobId=jobstreet-id-job-4105631&sectionRank=284&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Apoteker,PT HARKAT KARUNIA MEDICOTAMA,Semarang,N/A,1 hari yang lalu
284,https://www.jobstreet.co.id//id/job/driver-dump-truck-semarang-4075869?jobId=jobstreet-id-job-4075869&sectionRank=285&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Driver Dump Truck (Semarang),PT Teknotama Lingkungan Internusa (EcoStar Group),Semarang,N/A,10 hari yang lalu
285,https://www.jobstreet.co.id//id/job/backend-engineer-node.js-4097631?jobId=jobstreet-id-job-4097631&sectionRank=286&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Backend Engineer (Node.JS),PT Kode Inovasi Teknologi (CODR),"Yogyakarta, Jakarta Raya, Bandung, Bogor, Surabaya, Makassar, Semarang",N/A,7 hari yang lalu
286,https://www.jobstreet.co.id//id/job/cook-helper-4103709?jobId=jobstreet-id-job-4103709&sectionRank=287&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,COOK HELPER,Chicken Ramen,Semarang,N/A,4 hari yang lalu
287,https://www.jobstreet.co.id//id/job/assistant-manager-4095321?jobId=jobstreet-id-job-4095321&sectionRank=288&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Assistant Manager,Perusahaan Dirahasiakan,"Semarang, Jawa Timur",N/A,Perusahaan Dirahasiakan
288,https://www.jobstreet.co.id//id/job/nurse-4096904?jobId=jobstreet-id-job-4096904&sectionRank=289&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Nurse,PT Arya Noble,"Semarang, Yogyakarta",N/A,8 hari yang lalu
289,https://www.jobstreet.co.id//id/job/senior-spring-boot-developer-%7C-semarang-4082688?jobId=jobstreet-id-job-4082688&sectionRank=290&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Senior Spring Boot Developer | Semarang,PT Accenture (Semarang),Semarang,N/A,5 hari yang lalu
290,https://www.jobstreet.co.id//id/job/staff-marketing-4082357?jobId=jobstreet-id-job-4082357&sectionRank=291&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Staff Marketing,PT Putraduta Buanasentosa,Semarang,"IDR 2,8 jt - 3,5 jt  per bulan ",11 hari yang lalu
291,https://www.jobstreet.co.id//id/job/sales-marketing-s-m-4096151?jobId=jobstreet-id-job-4096151&sectionRank=292&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Sales & Marketing (S&M),Indah Jaya Express,"Jakarta Raya, Semarang, Yogyakarta",N/A,9 hari yang lalu
292,https://www.jobstreet.co.id//id/job/magang-multimedia-4083957?jobId=jobstreet-id-job-4083957&sectionRank=293&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Magang Multimedia,Yayasan Kesehatan Telogorejo,Semarang,N/A,10 hari yang lalu
293,https://www.jobstreet.co.id//id/job/marketing-partnership-coordinator-ef-semarang-prof.-soedarto-4083977?jobId=jobstreet-id-job-4083977&sectionRank=294&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Marketing & Partnership Coordinator (EF Semarang Prof. Soedarto),EF English First,Semarang,N/A,10 hari yang lalu
294,https://www.jobstreet.co.id//id/job/project-engineer-distribution-access-provisioning-bali-palembang-medan-surabaya-semarang-4094702?jobId=jobstreet-id-job-4094702&sectionRank=295&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,"Project Engineer (Distribution Access & Provisioning) - Bali, Palembang, Medan, Surabaya, Semarang","Sarana Menara Nusantara Tbk., PT","Surabaya, Medan, Semarang, Jakarta Raya, Denpasar, Palembang",N/A,11 hari yang lalu
295,https://www.jobstreet.co.id//id/job/staff-purchasing-4091114?jobId=jobstreet-id-job-4091114&sectionRank=296&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,STAFF PURCHASING,PT Lukie Works Indonesia,Semarang,IDR 3 jt - 4 jt  per bulan ,13 hari yang lalu
296,https://www.jobstreet.co.id//id/job/staff-produksi-4098496?jobId=jobstreet-id-job-4098496&sectionRank=297&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Staff Produksi,Tahu Horai,Semarang,N/A,7 hari yang lalu
297,https://www.jobstreet.co.id//id/job/admin-gudang-project-4091175?jobId=jobstreet-id-job-4091175&sectionRank=298&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Admin Gudang Project,PT. Gosyen Solusi Indonesia,Semarang,N/A,13 hari yang lalu
298,https://www.jobstreet.co.id//id/job/kasir-4100462?jobId=jobstreet-id-job-4100462&sectionRank=299&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Kasir,Clarabele Baking Supply,Semarang,N/A,6 hari yang lalu
299,https://www.jobstreet.co.id//id/job/faculty-member-computer-science-binus-semarang-4078328?jobId=jobstreet-id-job-4078328&sectionRank=300&token=0~1886f8ea-526b-46a5-8ab9-83ab1fba7f5e&fr=SRP%20View%20In%20New%20Tab,Faculty Member - Computer Science (BINUS Semarang),Yayasan Bina Nusantara,Semarang,N/A,7 hari yang lalu
300,https://www.jobstreet.co.id//id/job/accounting-finance-mandarin-speaker-4100074?jobId=jobstreet-id-job-4100074&sectionRank=301&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,ACCOUNTING FINANCE MANDARIN SPEAKER,PT. INDOPINTAN ADI PERKASA,"Jakarta Utara, Semarang",IDR 8 jt - 12 jt  per bulan ,6 hari yang lalu
301,https://www.jobstreet.co.id//id/job/area-operasional-supervisor-4107404?jobId=jobstreet-id-job-4107404&sectionRank=302&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Area Operasional Supervisor,PT Pinus Merah Abadi (Nabati Group),"Jawa Tengah, Kalimantan Selatan, Rangkasbitung",N/A,17 jam yang lalu
302,https://www.jobstreet.co.id//id/job/operator-produksi-4090119?jobId=jobstreet-id-job-4090119&sectionRank=303&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Operator Produksi,PT Muliaform Grafido,Semarang,N/A,14 hari yang lalu
303,https://www.jobstreet.co.id//id/job/cinema-supervisor-jawa-tengah-4105126?jobId=jobstreet-id-job-4105126&sectionRank=304&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Cinema Supervisor (Jawa Tengah),PT Graha Layar Prima,Jawa Tengah,N/A,1 hari yang lalu
304,https://www.jobstreet.co.id//id/job/dokter-klinik-kecantikan-4099515?jobId=jobstreet-id-job-4099515&sectionRank=305&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,DOKTER KLINIK KECANTIKAN,PT. Kusuma Sampurna Mulia,"Pontianak, Semarang, Jawa Barat",IDR 9 jt - 12 jt  per bulan ,6 hari yang lalu
305,https://www.jobstreet.co.id//id/job/field-technical-support-4107002?jobId=jobstreet-id-job-4107002&sectionRank=306&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Field Technical Support,PT Multidaya Teknologi Nusantara,"Riau, Sumatera Selatan, Lampung, Jawa Barat, Jawa Tengah, Jawa Timur, Kalimantan Selatan, Sulawesi Tengah, Sulawesi Tenggara, Sulawesi Utara",N/A,20 jam yang lalu
306,https://www.jobstreet.co.id//id/job/direct-sales-first-media-4096456?jobId=jobstreet-id-job-4096456&sectionRank=307&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Direct Sales First Media,First Media Semarang,"Semarang, Surakarta, Tegal, Yogyakarta",N/A,9 hari yang lalu
307,https://www.jobstreet.co.id//id/job/customer-service-part-time-4101953?jobId=jobstreet-id-job-4101953&sectionRank=308&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,CUSTOMER SERVICE PART TIME,Ernanami Wardrobe,Semarang,N/A,5 hari yang lalu
308,https://www.jobstreet.co.id//id/job/civil-project-coordinator-4104766?jobId=jobstreet-id-job-4104766&sectionRank=309&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Civil Project Coordinator,PT CDBN ( Cipta Dimensi Baja Nusantara ),"Jakarta Raya, Jawa Tengah, Tangerang",IDR 20 jt - 24 jt  per bulan ,1 hari yang lalu
309,https://www.jobstreet.co.id//id/job/team-leader-warehouse-4092001?jobId=jobstreet-id-job-4092001&sectionRank=310&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Team Leader Warehouse,(PT Mitracomm Ekasarana),Semarang,"IDR 4 jt - 4,5 jt  per bulan ",12 hari yang lalu
310,https://www.jobstreet.co.id//id/job/quality-assurance-furniture-manufacture-4094818?jobId=jobstreet-id-job-4094818&sectionRank=311&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Quality Assurance  - Furniture Manufacture,PT Metaphor Indonesia,Semarang,N/A,11 hari yang lalu
311,https://www.jobstreet.co.id//id/job/supervisor-r-d-formulasi-4077381?jobId=jobstreet-id-job-4077381&sectionRank=312&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Supervisor R&D Formulasi,PT Erela,Semarang,N/A,9 hari yang lalu
312,https://www.jobstreet.co.id//id/job/admin-penjualan-4095919?jobId=jobstreet-id-job-4095919&sectionRank=313&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,ADMIN PENJUALAN,PT Maju Anugrah Jaya Unggul (Jateng),Semarang,N/A,8 hari yang lalu
313,https://www.jobstreet.co.id//id/job/sales-4095656?jobId=jobstreet-id-job-4095656&sectionRank=314&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,SALES,IKKOU SPARE PART FORKLIFT,Semarang,IDR 2 jt - 4 jt  per bulan ,9 hari yang lalu
314,https://www.jobstreet.co.id//id/job/javascript-lead-developer-semarang-4098100?jobId=jobstreet-id-job-4098100&sectionRank=315&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Javascript Lead Developer - Semarang,PT Accenture (Semarang),Semarang,N/A,7 hari yang lalu
315,https://www.jobstreet.co.id//id/job/staff-engineer-4091048?jobId=jobstreet-id-job-4091048&sectionRank=316&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,STAFF ENGINEER,PT Lukie Works Indonesia,Semarang,IDR 3 jt - 4 jt  per bulan ,13 hari yang lalu
316,https://www.jobstreet.co.id//id/job/produksi-masak-crew-kitchen-4103121?jobId=jobstreet-id-job-4103121&sectionRank=317&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Produksi Masak / Crew Kitchen,Waroeng Special Sambal SS,Semarang,N/A,5 hari yang lalu
317,https://www.jobstreet.co.id//id/job/senior-design-grafis-4095778?jobId=jobstreet-id-job-4095778&sectionRank=318&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Senior Design Grafis,PT Mamagreen Pacific,Semarang,N/A,9 hari yang lalu
318,https://www.jobstreet.co.id//id/job/admin-gudang-semarang-4089322?jobId=jobstreet-id-job-4089322&sectionRank=319&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Admin Gudang (Semarang),PT Nuclear Coating Fabric,Semarang,N/A,14 hari yang lalu
319,https://www.jobstreet.co.id//id/job/area-supervisor-semarang-4094733?jobId=jobstreet-id-job-4094733&sectionRank=320&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Area Supervisor Semarang,PT Jaya Wira Jerindo (Tribina Group),Semarang,"IDR 3,4 jt - 4,2 jt  per bulan ",11 hari yang lalu
320,https://www.jobstreet.co.id//id/job/area-supervisor-semarang-4102606?jobId=jobstreet-id-job-4102606&sectionRank=321&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Area Supervisor Semarang,The Bobatea,Semarang,"IDR 3,2 jt - 4,5 jt  per bulan ",5 hari yang lalu
321,https://www.jobstreet.co.id//id/job/accountant-leader-4106644?jobId=jobstreet-id-job-4106644&sectionRank=322&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Accountant Leader,PT Formosa Bag Indonesia,Jawa Tengah,N/A,22 jam yang lalu
322,https://www.jobstreet.co.id//id/job/translator-mandarin-4101473?jobId=jobstreet-id-job-4101473&sectionRank=323&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,TRANSLATOR MANDARIN,PT Roda Maju Bahagia,Semarang,IDR 12 jt - 15 jt  per bulan ,5 hari yang lalu
323,https://www.jobstreet.co.id//id/job/customer-care-mandarin-agent-4095554?jobId=jobstreet-id-job-4095554&sectionRank=324&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,CUSTOMER CARE - MANDARIN AGENT,(PT Mitracomm Ekasarana),Semarang,IDR 6 jt - 8 jt  per bulan ,8 hari yang lalu
324,https://www.jobstreet.co.id//id/job/staff-administrasi-4086781?jobId=jobstreet-id-job-4086781&sectionRank=325&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Staff Administrasi,PT. MULIAOFFSET PACKINDO,Semarang,N/A,15 hari yang lalu
325,https://www.jobstreet.co.id//id/job/groomer-4099987?jobId=jobstreet-id-job-4099987&sectionRank=326&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Groomer,Rumah Pet Grooming Semarang,Semarang,N/A,6 hari yang lalu
326,https://www.jobstreet.co.id//id/job/supervisor-human-resource-dan-general-affair-plant-boyolali-4106879?jobId=jobstreet-id-job-4106879&sectionRank=327&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,SUPERVISOR HUMAN RESOURCE DAN GENERAL AFFAIR PLANT BOYOLALI,PT Gaya Sukses Mandiri Kaseindo,Jawa Tengah,N/A,21 jam yang lalu
327,https://www.jobstreet.co.id//id/job/faculty-member-industrial-engineering-binus-semarang-4096669?jobId=jobstreet-id-job-4096669&sectionRank=328&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Faculty Member - Industrial Engineering (BINUS Semarang),Yayasan Bina Nusantara,Semarang,N/A,8 hari yang lalu
328,https://www.jobstreet.co.id//id/job/plant-manager-4105852?jobId=jobstreet-id-job-4105852&sectionRank=329&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Plant Manager,Indofood Group,"Jawa Tengah, Jawa Timur",N/A,1 hari yang lalu
329,https://www.jobstreet.co.id//id/job/marketing-4102659?jobId=jobstreet-id-job-4102659&sectionRank=330&token=0~18e5870c-2863-4dcc-b733-c284acdd8548&fr=SRP%20View%20In%20New%20Tab,Marketing,Perusahaan Dirahasiakan,Semarang,N/A,Perusahaan Dirahasiakan
330,https://www.jobstreet.co.id//id/job/asisten-kepala-gudang-4106792?jobId=jobstreet-id-job-4106792&sectionRank=331&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Asisten Kepala Gudang,PT Saniharto Enggalhardjo Semarang,Jawa Tengah,N/A,22 jam yang lalu
331,https://www.jobstreet.co.id//id/job/crew-restaurant-yogyakarta-solo-semarang-magelang-4092481?jobId=jobstreet-id-job-4092481&sectionRank=332&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,"CREW RESTAURANT YOGYAKARTA, SOLO, SEMARANG, MAGELANG",PT Pesta Pora Abadi,"Yogyakarta, Surakarta, Semarang, Magelang",N/A,12 hari yang lalu
332,https://www.jobstreet.co.id//id/job/it-sap-staff-4092052?jobId=jobstreet-id-job-4092052&sectionRank=333&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,IT (SAP) STAFF,PT Lukie Works Indonesia,Semarang,IDR 3 jt - 4 jt  per bulan ,12 hari yang lalu
333,https://www.jobstreet.co.id//id/job/quality-control-supervisor-semarang-4089194?jobId=jobstreet-id-job-4089194&sectionRank=334&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Quality Control Supervisor (Semarang),Cimory Group,Semarang,N/A,14 hari yang lalu
334,https://www.jobstreet.co.id//id/job/staff-exim-4089302?jobId=jobstreet-id-job-4089302&sectionRank=335&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,STAFF EXIM,PT Triangle Motorindo (Semarang),Semarang,IDR 3 jt - 4 jt  per bulan ,14 hari yang lalu
335,https://www.jobstreet.co.id//id/job/marketing-executive-medical-equipment-4094457?jobId=jobstreet-id-job-4094457&sectionRank=336&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Marketing Executive (Medical Equipment),PT. Edison Duta Sarana,"Medan, Bandar Lampung, Semarang, Yogyakarta, Makassar, Surabaya, Jakarta Raya, Kalimantan Selatan, Denpasar",IDR 4 jt - 6 jt  per bulan ,11 hari yang lalu
336,https://www.jobstreet.co.id//id/job/personal-assistant-relationship-customer-4091966?jobId=jobstreet-id-job-4091966&sectionRank=337&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,PERSONAL ASSISTANT & RELATIONSHIP CUSTOMER,PT Nusantara Elka Sumber,Semarang,N/A,12 hari yang lalu
337,https://www.jobstreet.co.id//id/job/tiktok-specialist-manager-medan-4108004?jobId=jobstreet-id-job-4108004&sectionRank=338&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,TIKTOK SPECIALIST MANAGER (MEDAN),PT Seluruh Indonesia Online,"Bali, Jakarta Raya, Jawa Barat, Jawa Tengah, Pekanbaru, Makassar, Sumatera Barat, Sumatera Selatan, Sumatera Utara, Tangerang",IDR 10 jt - 18 jt  per bulan ,52 menit yang lalu
338,https://www.jobstreet.co.id//id/job/online-ads-manager-medan-4107983?jobId=jobstreet-id-job-4107983&sectionRank=339&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,ONLINE ADS MANAGER (MEDAN),PT Seluruh Indonesia Online,"Bali, Jakarta Raya, Jawa Barat, Jawa Tengah, Pekanbaru, Makassar, Sumatera Barat, Sumatera Selatan, Sumatera Utara, Tangerang",IDR 10 jt - 18 jt  per bulan ,1 jam yang lalu
339,https://www.jobstreet.co.id//id/job/assistant-accounting-4092679?jobId=jobstreet-id-job-4092679&sectionRank=340&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Assistant Accounting,PT Hao Sheng Trading Surabaya,Semarang,"IDR 2,8 jt - 2,8 jt  per bulan ",12 hari yang lalu
340,https://www.jobstreet.co.id//id/job/material-planner-4105254?jobId=jobstreet-id-job-4105254&sectionRank=341&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Material Planner,Reckitt Benckiser Indonesia,Jawa Tengah,N/A,1 hari yang lalu
341,https://www.jobstreet.co.id//id/job/warehouse-supervisor-4107265?jobId=jobstreet-id-job-4107265&sectionRank=342&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Warehouse Supervisor,PT Superior Prima Sukses,"Jawa Tengah, Jawa Timur",N/A,18 jam yang lalu
342,https://www.jobstreet.co.id//id/job/warehouse-supervisor-semarang-4089189?jobId=jobstreet-id-job-4089189&sectionRank=343&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Warehouse Supervisor (Semarang),Cimory Group,Semarang,"IDR 4,7 jt - 6 jt  per bulan ",14 hari yang lalu
343,https://www.jobstreet.co.id//id/job/sales-executive-4075240?jobId=jobstreet-id-job-4075240&sectionRank=344&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Sales Executive,PT Dafam Property Indonesia Tbk,Semarang,N/A,11 hari yang lalu
344,https://www.jobstreet.co.id//id/job/kasie-gudang-4089430?jobId=jobstreet-id-job-4089430&sectionRank=345&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Kasie Gudang,PT Penguin Indonesia,"Sidoarjo, Semarang",N/A,14 hari yang lalu
345,https://www.jobstreet.co.id//id/job/digital-media-officer-4101464?jobId=jobstreet-id-job-4101464&sectionRank=346&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Digital Media Officer,The Peak Garage,Semarang,N/A,5 hari yang lalu
346,https://www.jobstreet.co.id//id/job/creative-photography-manager-4083974?jobId=jobstreet-id-job-4083974&sectionRank=347&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Creative Photography Manager,Perusahaan Dirahasiakan,Semarang,N/A,Perusahaan Dirahasiakan
347,https://www.jobstreet.co.id//id/job/team-event-4099838?jobId=jobstreet-id-job-4099838&sectionRank=348&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Team Event,Nikah Xpress,"Bali, Bandung, Semarang, Surabaya, Medan",N/A,6 hari yang lalu
348,https://www.jobstreet.co.id//id/job/electrical-engineer-4107996?jobId=jobstreet-id-job-4107996&sectionRank=349&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Electrical Engineer,PT Norxel Teknologi Indonesia,Jawa Tengah,N/A,57 menit yang lalu
349,https://www.jobstreet.co.id//id/job/manager-4100306?jobId=jobstreet-id-job-4100306&sectionRank=350&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,MANAGER,Lukaya,Semarang,N/A,6 hari yang lalu
350,https://www.jobstreet.co.id//id/job/sales-marketing-alat-berat-truk-4094103?jobId=jobstreet-id-job-4094103&sectionRank=351&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Sales Marketing Alat Berat / Truk,PT Kobexindo Equipment,"Jakarta Raya, Semarang, Surabaya, Balikpapan, Samarinda, Makassar, Medan, Cilegon",N/A,11 hari yang lalu
351,https://www.jobstreet.co.id//id/job/field-collector-area-semarang-4083136?jobId=jobstreet-id-job-4083136&sectionRank=352&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Field Collector Area SEMARANG,PT Finaccel Finance Indonesia,Semarang,"IDR 3,5 jt - 4,9 jt  per bulan ",10 hari yang lalu
352,https://www.jobstreet.co.id//id/job/autonomation-4090434?jobId=jobstreet-id-job-4090434&sectionRank=353&token=0~e9ba3406-9a8a-41fa-bd9d-293813ed3c59&fr=SRP%20View%20In%20New%20Tab,Autonomation,PT Mas Silueta Indonesia,Semarang,N/A,13 hari yang lalu
